# timeMillis,nanoTime,magnet_x,magnet_y,magnet_z,location_x,location_y,bearing
1532327891539,245122615769465,-39.84000000,-48.05999800,-33.12000000,9.546,21.100,0.00000000
1532327891558,245122635769465,-39.54000000,-48.42000000,-32.76000000,9.564,21.100,0.00000000
1532327891577,245122655769431,-39.48000000,-48.96000000,-32.57999800,9.583,21.100,0.00000000
1532327891601,245122675769431,-39.42000000,-49.20000000,-31.85999900,9.606,21.100,0.00000000
1532327891619,245122695769431,-39.18000000,-49.80000000,-30.96000000,9.624,21.100,0.00000000
1532327891641,245122715769431,-38.87999700,-50.52000000,-30.77999900,9.645,21.100,0.00000000
1532327891658,245122735769397,-39.36000000,-50.87999700,-30.48000000,9.661,21.100,0.00000000
1532327891677,245122755769397,-38.64000000,-51.60000000,-30.11999900,9.680,21.100,0.00000000
1532327891698,245122775769397,-37.98000000,-52.07999800,-30.11999900,9.700,21.100,0.00000000
1532327891719,245122795769397,-37.55999800,-52.14000000,-29.64000000,9.721,21.100,0.00000000
1532327891738,245122815769397,-36.60000000,-52.32000000,-29.34000000,9.739,21.100,0.00000000
1532327891757,245122835769397,-36.42000000,-53.16000000,-29.22000000,9.757,21.100,0.00000000
1532327891779,245122855769397,-36.23999800,-53.52000000,-28.92000000,9.779,21.100,0.00000000
1532327891797,245122875769397,-36.36000000,-54.05999800,-28.74000000,9.796,21.100,0.00000000
1532327891816,245122895769397,-36.54000000,-54.48000000,-28.08000000,9.815,21.100,0.00000000
1532327891839,245122915769397,-36.54000000,-54.42000000,-27.77999900,9.837,21.100,0.00000000
1532327891858,245122935769397,-36.78000000,-55.07999800,-27.84000000,9.855,21.100,0.00000000
1532327891877,245122955769397,-36.96000000,-54.84000000,-27.77999900,9.874,21.100,0.00000000
1532327891900,245122975769397,-37.07999800,-55.19999700,-27.84000000,9.896,21.100,0.00000000
1532327891917,245122995769397,-37.14000000,-55.07999800,-27.72000000,9.913,21.100,0.00000000
1532327891937,245123015769397,-37.44000000,-54.71999700,-27.30000000,9.932,21.100,0.00000000
1532327891959,245123035769397,-37.14000000,-55.14000000,-27.18000000,9.954,21.100,0.00000000
1532327891978,245123055769397,-37.20000000,-54.60000000,-26.76000000,9.972,21.100,0.00000000
1532327891997,245123075769397,-37.32000000,-54.78000000,-26.09999800,9.990,21.100,0.00000000
1532327892020,245123095769397,-37.44000000,-55.26000000,-25.92000000,10.013,21.100,0.00000000
1532327892036,245123115769397,-37.92000000,-55.32000000,-25.68000000,10.028,21.100,0.00000000
1532327892058,245123135769430,-38.16000000,-55.73999800,-25.43999900,10.050,21.100,0.00000000
1532327892082,245123155769396,-38.39999800,-55.73999800,-25.43999900,10.073,21.100,0.00000000
1532327892096,245123175769396,-38.39999800,-55.44000000,-24.84000000,10.086,21.100,0.00000000
1532327892119,245123195769396,-38.82000000,-55.07999800,-24.60000000,10.109,21.100,0.00000000
1532327892138,245123215769396,-39.36000000,-54.48000000,-24.42000000,10.127,21.100,0.00000000
1532327892157,245123235769396,-40.07999800,-54.48000000,-24.06000000,10.146,21.100,0.00000000
1532327892177,245123255769396,-40.62000000,-53.69999700,-23.76000000,10.165,21.100,0.00000000
1532327892202,245123275769396,-41.04000000,-53.69999700,-23.27999900,10.189,21.100,0.00000000
1532327892220,245123295769396,-41.46000000,-53.39999800,-22.80000000,10.207,21.100,0.00000000
1532327892309,245123315769396,-41.64000000,-52.68000000,-22.14000000,10.293,21.100,0.00000000
1532327892309,245123335769396,-42.48000000,-52.73999800,-21.35999900,10.293,21.100,0.00000000
1532327892309,245123355769396,-43.50000000,-51.96000000,-20.58000000,10.293,21.100,0.00000000
1532327892309,245123375769396,-43.80000000,-51.66000000,-20.40000000,10.293,21.100,0.00000000
1532327892320,245123395769396,-44.52000000,-51.60000000,-20.03999900,10.304,21.100,0.00000000
1532327892338,245123415769396,-44.87999700,-50.94000000,-20.03999900,10.321,21.100,0.00000000
1532327892360,245123435769396,-44.94000000,-50.28000000,-20.40000000,10.343,21.100,0.00000000
1532327892380,245123455769396,-45.18000000,-49.73999800,-20.03999900,10.362,21.100,0.00000000
1532327892397,245123475769396,-45.42000000,-49.02000000,-19.38000000,10.379,21.100,0.00000000
1532327892418,245123495769396,-45.71999700,-48.18000000,-19.14000000,10.399,21.100,0.00000000
1532327892440,245123515769396,-46.02000000,-48.05999800,-17.94000000,10.420,21.100,0.00000000
1532327892457,245123535769396,-46.80000000,-47.39999800,-17.10000000,10.437,21.100,0.00000000
1532327892476,245123555769429,-46.98000000,-47.21999700,-17.03999900,10.455,21.100,0.00000000
1532327892499,245123575769429,-47.52000000,-47.28000000,-16.44000000,10.478,21.100,0.00000000
1532327892520,245123595769429,-47.70000000,-46.92000000,-16.26000000,10.498,21.100,0.00000000
1532327892538,245123615769429,-47.64000000,-46.86000000,-16.08000000,10.515,21.100,0.00000000
1532327892560,245123635769462,-47.82000000,-46.68000000,-15.36000000,10.537,21.100,0.00000000
1532327892576,245123655769462,-47.28000000,-46.80000000,-14.70000000,10.552,21.100,0.00000000
1532327892596,245123675769462,-47.57999800,-46.92000000,-14.94000000,10.572,21.100,0.00000000
1532327892627,245123695769462,-47.76000000,-46.73999800,-14.34000000,10.602,21.100,0.00000000
1532327892657,245123715769462,-47.57999800,-46.73999800,-14.04000000,10.631,21.100,0.00000000
1532327892747,245123735769428,-48.05999800,-46.26000000,-13.67999900,10.718,21.100,0.00000000
1532327892747,245123755769428,-47.57999800,-46.20000000,-12.78000000,10.718,21.100,0.00000000
1532327892747,245123775769428,-47.87999700,-46.68000000,-12.05999900,10.718,21.100,0.00000000
1532327892747,245123795769428,-48.66000000,-46.37999700,-12.05999900,10.718,21.100,0.00000000
1532327892747,245123815769428,-48.66000000,-46.26000000,-11.63999900,10.718,21.100,0.00000000
1532327892758,245123835769428,-48.84000000,-46.02000000,-11.28000000,10.729,21.100,0.00000000
1532327892777,245123855769428,-48.30000000,-45.60000000,-10.74000000,10.747,21.100,0.00000000
1532327892800,245123875769428,-47.82000000,-45.53999700,-9.66000000,10.770,21.100,0.00000000
1532327892818,245123895769428,-47.52000000,-45.84000000,-9.12000000,10.787,21.100,0.00000000
1532327892837,245123915769461,-47.16000000,-46.02000000,-8.58000000,10.806,21.100,0.00000000
1532327892859,245123935769461,-47.10000000,-46.20000000,-8.58000000,10.827,21.100,0.00000000
1532327892877,245123955769461,-46.32000000,-46.68000000,-8.40000000,10.844,21.100,0.00000000
1532327892897,245123975769461,-45.71999700,-47.16000000,-8.82000000,10.864,21.100,0.00000000
1532327892920,245123995769461,-45.71999700,-47.57999800,-8.63999900,10.886,21.100,0.00000000
1532327892939,245124015769461,-45.36000000,-47.82000000,-8.94000000,10.905,21.100,0.00000000
1532327892957,245124035769461,-45.36000000,-47.52000000,-9.17999900,10.922,21.100,0.00000000
1532327892980,245124055769494,-45.12000000,-47.10000000,-8.22000000,10.944,21.100,0.00000000
1532327892996,245124075769494,-44.46000000,-46.68000000,-8.22000000,10.960,21.100,0.00000000
1532327893017,245124095769494,-44.16000000,-46.20000000,-7.91999960,10.980,21.100,0.00000000
1532327893041,245124115769494,-44.16000000,-46.37999700,-8.28000000,11.004,21.100,0.00000000
1532327893058,245124135769494,-44.34000000,-46.55999800,-8.70000000,11.020,21.100,0.00000000
1532327893077,245124155769460,-44.57999800,-46.32000000,-9.12000000,11.039,21.100,0.00000000
1532327893099,245124175769460,-44.76000000,-46.26000000,-9.24000000,11.060,21.100,0.00000000
1532327893137,245124195769460,-44.52000000,-45.42000000,-9.05999900,11.097,21.100,0.00000000
1532327893138,245124215769460,-44.64000000,-44.70000000,-8.88000000,11.098,21.100,0.00000000
