loc_x,loc_y,mag_x,mag_y,mag_z
41,27.7,-32.40119254,5.813416493,-55.11868433
,,,,
41,28.9,-16.30446992,7.243037594,-43.01780451
,,,,
41,30.1,-39.49949185,3.598406667,-25.89252963
,,,,
41,31.3,-32.85688074,7.300799333,-48.56214741
,,,,
41,32.5,-20.24948162,16.11342721,-62.74029191
,,,,
41,33.7,-21.89859254,-7.559830448,-52.79580672
,,,,
41,34.9,-31.57264265,-1.101078503,-52.53304118
,,,,
41,36.1,-35.39268897,7.471769044,-55.00466985
,,,,
41,37.3,-27.75366618,14.62944044,-34.32056691
,,,,
41,38.5,-11.59523212,26.36600511,-41.55283358
,,,,
41,39.7,-7.446979051,6.349928175,-57.78921314
,,,,
41,40.9,-30.94158271,-9.216513759,-32.15147895
,,,,
41,42.1,-39.43417299,13.71103796,-40.77168321
,,,,
41,43.3,-51.39082015,-3.330037164,-48.25948433
,,,,
41,44.5,-26.18173309,20.49909191,-35.06578456
,,,,
41,45.7,-27.19924394,-10.36724848,-37.84204015
,,,,
41.9,45.7,-41.89762782,16.01955038,-36.6443015
,,,,
41.9,44.5,-12.21985333,12.20859274,-32.28949481
,,,,
41.9,43.3,-20.84277687,-9.806595448,-56.6858306
,,,,
41.9,42.1,-7.762510224,15.51131269,-50.22236791
,,,,
41.9,40.9,-36.57934104,4.737387239,-41.37455672
,,,,
41.9,39.7,-32.61570222,3.27628763,-54.73932815
,,,,
41.9,38.5,-22.11321818,-9.583652273,-19.63869621
,,,,
41.9,37.3,-4.428490602,9.066426767,-50.03017218
,,,,
41.9,36.1,-25.54959701,-4.228335746,-49.96020299
,,,,
41.9,34.9,-27.47278571,6.836476391,-43.4116797
,,,,
41.9,33.7,-32.71623015,-12.22076029,-40.25292279
,,,,
41.9,32.5,-30.56024776,-7.305805672,-55.39181716
,,,,
41.9,31.3,-25.41238788,12.80910758,-35.27899318
,,,,
41.9,30.1,-41.61823259,4.667189111,-53.19694444
,,,,
41.9,28.9,-24.01047836,-10.75477261,-56.17247463
,,,,
41.9,27.7,-24.99667333,-2.876010741,-47.95883481
,,,,
41.9,26.5,-23.47071278,-13.08419549,-54.5900188
,,,,
41.9,25.3,-33.61453481,-4.108072593,-27.38689704
,,,,
41.9,24.1,-43.33485338,2.848299925,-28.37146015
,,,,
41.9,22.9,-31.29080296,2.238340301,-30.68052296
,,,,
41.9,21.7,-32.11092932,-11.1050712,-48.20153985
,,,,
41.9,20.5,-21.17353134,-13.35769925,-45.8318209
,,,,
41.9,19.3,-27.22303676,7.16639125,-53.89370809
,,,,
41.9,18.1,-15.80237209,-3.825816202,-59.46204729
,,,,
