# timeMillis,nanoTime,magnet_x,magnet_y,magnet_z,location_x,location_y,bearing
1529040744730,100838647692359,-39.64843800,-12.41302500,-18.08471700,12.463,21.100,0.00000000
1529040744750,100838667833961,-38.74817000,-11.21368400,-20.18432600,12.484,21.100,0.00000000
1529040744769,100838688006080,-39.49737500,-11.96289100,-17.18444800,12.504,21.100,0.00000000
1529040744789,100838708147681,-39.94751000,-10.01281700,-18.68438700,12.525,21.100,0.00000000
1529040744809,100838728289283,-40.09857000,-11.36322000,-17.33398400,12.545,21.100,0.00000000
1529040744831,100838748400367,-40.54870600,-9.86328100,-18.08471700,12.568,21.100,0.00000000
1529040744849,100838768541968,-38.89770500,-9.41314700,-17.33398400,12.587,21.100,0.00000000
1529040744871,100838788683570,-38.14850000,-9.41314700,-16.58477800,12.610,21.100,0.00000000
1529040744890,100838808855689,-38.89770500,-8.66241500,-17.78411900,12.630,21.100,0.00000000
1529040744912,100838828997291,-39.34784000,-9.11254900,-18.08471700,12.653,21.100,0.00000000
1529040744932,100838849138892,-38.59863300,-9.11254900,-17.03491200,12.673,21.100,0.00000000
1529040744952,100838869249976,-38.44757000,-8.51287800,-17.18444800,12.694,21.100,0.00000000
1529040744972,100838889391578,-37.24823000,-9.26361100,-16.73431400,12.715,21.100,0.00000000
1529040744993,100838909533179,-38.14850000,-8.36334200,-18.53485100,12.737,21.100,0.00000000
1529040745013,100838929827369,-40.24810800,-7.01293950,-15.98358200,12.758,21.100,0.00000000
1529040745031,100838949816382,-38.89770500,-7.16247560,-18.08471700,12.777,21.100,0.00000000
1529040745051,100838969988502,-37.84790000,-5.96313500,-18.53485100,12.797,21.100,0.00000000
1529040745070,100838990130103,-37.24823000,-6.56280500,-17.18444800,12.817,21.100,0.00000000
1529040745091,100839010271705,-37.99743700,-7.01293950,-17.93365500,12.839,21.100,0.00000000
1529040745114,100839030413306,-38.44757000,-5.81359860,-18.68438700,12.863,21.100,0.00000000
1529040745168,100839050524390,-37.39776600,-4.46319600,-18.83392300,12.919,21.100,0.00000000
1529040745168,100839070665992,-38.44757000,-4.61273200,-20.18432600,12.919,21.100,0.00000000
1529040745171,100839090838111,-38.59863300,-4.16259770,-20.33386200,12.922,21.100,0.00000000
1529040745221,100839110979712,-37.54730200,-3.56292720,-19.73419200,12.974,21.100,0.00000000
1529040745221,100839131121314,-37.84790000,-4.91333000,-19.58465600,12.974,21.100,0.00000000
1529040745231,100839151232398,-37.09869400,-3.41339100,-19.58465600,12.985,21.100,0.00000000
1529040745269,100839171404517,-36.64856000,-4.16259770,-18.83392300,13.024,21.100,0.00000000
1529040745271,100839191546119,-36.49749800,-3.86352540,-18.98498500,13.026,21.100,0.00000000
1529040745314,100839211657203,-37.54730200,-4.31365970,-20.93505900,13.071,21.100,0.00000000
1529040745314,100839231829322,-38.44757000,-4.31365970,-20.93505900,13.071,21.100,0.00000000
1529040745332,100839251940406,-35.44769300,-2.96325680,-19.58465600,13.090,21.100,0.00000000
1529040745374,100839272082007,-37.24823000,-2.36358640,-20.18432600,13.134,21.100,0.00000000
1529040745374,100839292254127,-36.64856000,-3.71246340,-20.33386200,13.134,21.100,0.00000000
1529040745419,100839312395728,-36.49749800,-3.11279300,-20.93505900,13.180,21.100,0.00000000
1529040745419,100839332506812,-35.74829000,-2.36358640,-21.68426500,13.180,21.100,0.00000000
1529040745455,100839352648414,-36.79809600,-3.56292720,-20.93505900,13.218,21.100,0.00000000
1529040745455,100839372820533,-35.14862000,-1.46331790,-20.33386200,13.218,21.100,0.00000000
1529040745473,100839392962134,-33.64868000,-2.66265870,-22.28393600,13.237,21.100,0.00000000
1529040745519,100839413073218,-35.29815700,-3.86352540,-20.48492400,13.284,21.100,0.00000000
1529040745519,100839433367408,-36.04736300,-2.36358640,-21.98486300,13.284,21.100,0.00000000
1529040745533,100839453386939,-35.14862000,-2.96325680,-22.58453400,13.299,21.100,0.00000000
1529040745583,100839473498023,-35.29815700,-3.56292720,-21.68426500,13.351,21.100,0.00000000
1529040745583,100839493670142,-33.94775400,-3.71246340,-20.78399700,13.351,21.100,0.00000000
1529040745596,100839513811744,-34.54742400,-3.56292720,-22.43499800,13.365,21.100,0.00000000
1529040745638,100839534014380,-33.34808300,-3.11279300,-23.18420400,13.408,21.100,0.00000000
1529040745638,100839554094947,-32.59735000,-2.81372070,-23.93493700,13.408,21.100,0.00000000
1529040745654,100839574206031,-34.24835200,-4.31365970,-24.98474100,13.425,21.100,0.00000000
1529040745694,100839594378150,-32.59735000,-2.81372070,-23.18420400,13.467,21.100,0.00000000
1529040745694,100839614519752,-32.14874300,-2.96325680,-24.53460700,13.467,21.100,0.00000000
1529040745743,100839634661353,-33.04748500,-0.56304930,-25.43487500,13.518,21.100,0.00000000
1529040745743,100839654772437,-31.54754600,-2.81372070,-24.23400900,13.518,21.100,0.00000000
1529040745755,100839674914039,-32.89795000,-1.76239010,-24.83368000,13.530,21.100,0.00000000
1529040745802,100839695086158,-32.59735000,-2.36358640,-24.23400900,13.579,21.100,0.00000000
1529040745802,100839715227759,-32.44781500,-2.21252440,-25.28381300,13.579,21.100,0.00000000
1529040745815,100839735338843,-31.24847400,-4.16259770,-23.33374000,13.593,21.100,0.00000000
1529040745860,100839755510962,-32.29828000,-2.36358640,-23.93493700,13.639,21.100,0.00000000
1529040745860,100839775805152,-32.14874300,-4.91333000,-23.03466800,13.639,21.100,0.00000000
1529040745879,100839796099341,-31.84814500,-4.31365970,-23.93493700,13.659,21.100,0.00000000
1529040745943,100839816363013,-30.34820600,-5.06286600,-23.93493700,13.726,21.100,0.00000000
1529040745943,100839836657203,-31.84814500,-3.56292720,-23.93493700,13.726,21.100,0.00000000
1529040745943,100839856951392,-30.34820600,-2.81372070,-22.73407000,13.726,21.100,0.00000000
1529040745958,100839877215064,-32.29828000,-1.61285400,-25.73394800,13.741,21.100,0.00000000
1529040745978,100839897509253,-29.74853500,-3.71246340,-24.08447300,13.762,21.100,0.00000000
1529040746030,100839917803443,-31.09741200,-2.81372070,-24.23400900,13.816,21.100,0.00000000
1529040746030,100839938219703,-29.74853500,-3.41339100,-26.33361800,13.816,21.100,0.00000000
1529040746039,100839958361304,-29.59747300,-3.56292720,-25.73394800,13.826,21.100,0.00000000
1529040746097,100839978533423,-30.34820600,-3.11279300,-26.93481400,13.886,21.100,0.00000000
1529040746097,100839998736060,-30.19867000,-2.96325680,-24.83368000,13.886,21.100,0.00000000
1529040746098,100840017321265,-29.59747300,-4.31365970,-24.98474100,13.887,21.100,0.00000000
1529040746117,100840037462867,-28.24859600,-2.21252440,-26.33361800,13.907,21.100,0.00000000
1529040746173,100840057634986,-29.14733900,-5.06286600,-25.73394800,13.965,21.100,0.00000000
1529040746173,100840077776587,-28.69873000,-2.96325680,-26.78375200,13.965,21.100,0.00000000
1529040746178,100840097887671,-28.69873000,-1.46331790,-27.53448500,13.970,21.100,0.00000000
1529040746199,100840118029273,-29.59747300,-2.81372070,-26.18408200,13.992,21.100,0.00000000
1529040746240,100840138201392,-27.79846200,-2.96325680,-27.08435000,14.035,21.100,0.00000000
1529040746240,100840158342994,-28.99780300,-3.41339100,-26.33361800,14.035,21.100,0.00000000
